Project Name,Project Amount,Project Platform,Interest Rate,Project Status,Project Siren,Project Duration,Project Due Date,Project Type,Project Periodicity,Note Plateforme,Project Comment
La Biosphère 2/2 (prolongation),142454.0,lookandfin,9.0,Clos,,25,01/01/1900,amortizing,monthly,B,reimbursing
InnoVent,150000.0,lendosphere,6.0,Clos,435362710,60,20/08/2016,amortizing,monthly,0,reimbursing
SAS VALFER,250007.0,pretup,8.5,Clos,400764098,12,19/01/2023,amortizing,monthly,C,defaulted
Espaal Food,320000.0,lendix,5.95,Clos,B56111867,18,27/09/2022,amortizing,monthly,B,defaulted
SARL SBC,350000.0,credit.fr,6.75,Clos,750592511,30,23/05/2022,amortizing,monthly,C+,defaulted
GUIDE MUTUELLE SOLUTIONS,95000.0,credit.fr,6.45,Clos,511569865,18,09/05/2022,amortizing,monthly,C+,defaulted
CHAUDRONNERIE ALUMINIUM INOX,65000.0,credit.fr,6.6,Clos,400386710,24,03/05/2022,amortizing,monthly,C+,defaulted
PEINTURE SOL RAVALEMENT,150000.0,credit.fr,5.6,Clos,393143268,24,31/03/2022,amortizing,monthly,B,defaulted
OR FORMATION SERVICES,420000.0,credit.fr,6.6,Clos,393553953,24,28/03/2022,amortizing,monthly,C+,defaulted
A.C.F,250000.0,credit.fr,7.6,Clos,839771516,24,11/03/2022,amortizing,monthly,C,defaulted
S.G.T.F,60000.0,credit.fr,7.2,Clos,803874569,48,09/03/2022,amortizing,monthly,C+,defaulted
"Commerce, réparation automobile - SAINTE-CONSORCE",50000.0,unilend,7.2,Clos,,24,24/02/2022,amortizing,monthly,,defaulted
GLOBALE ENERGIE,310000.0,credit.fr,6.9,Clos,498956036,36,25/01/2022,amortizing,monthly,C+,defaulted
OPC CONCEPT 89,120000.0,credit.fr,6.6,Clos,838195683,24,12/01/2022,amortizing,monthly,C+,defaulted
GENEST,30000.0,credit.fr,6.6,Clos,831152442,24,06/01/2022,amortizing,monthly,C+,defaulted
VALENTINE PRODUCTION,250000.0,credit.fr,6.9,Clos,829100882,36,29/11/2021,amortizing,monthly,C+,defaulted
GAEC du Cernois,50009.0,pretup,8.5,Clos,330590407,48,09/10/2021,amortizing,monthly,C,defaulted
ENERLIS,1000000.0,credit.fr,4.3,Clos,798562450,12,14/10/2021,amortizing,monthly,B+,defaulted
JK PROMOTION,350000.0,pretup,9.5,Clos,750773806,12,17/09/2021,amortizing,monthly,C,defaulted
Manufacture des pianos de france,400000.0,pretup,9.0,Clos,478852759,6,15/08/2021,amortizing,monthly,C,defaulted
Edition de logiciels de modélisation 3D,55280.0,prexem,8.5,autre,845370451,30,08/09/2021,amortizing,monthly,C,defaulted
POVS,75000.0,credit.fr,6.9,Clos,391284163,36,11/08/2021,amortizing,monthly,C+,defaulted
P.B.I,42000.0,credit.fr,6.5,Clos,821580024,9,23/07/2021,amortizing,monthly,C+,defaulted
AKTIBA,40000.0,credit.fr,6.5,Clos,790730477,9,20/07/2021,amortizing,monthly,C+,defaulted
Refinancement de créances commerciales MBD lot 4,70000.0,lesentrepreteurs,9.0,Clos,807705546,18,19/07/2021,amortizing,monthly,C,defaulted
Refinancement de créances commerciales MBD lot 3,70000.0,lesentrepreteurs,9.0,Clos,807705546,18,12/07/2021,amortizing,monthly,C,defaulted
De Koning Interieur,80000.0,lendix,7.0,Clos,77778405,48,07/07/2021,amortizing,monthly,B,defaulted
Refinancement de créances commerciales MBD lot 2,70000.0,lesentrepreteurs,9.0,Clos,807705546,18,02/07/2021,amortizing,monthly,C,defaulted
Refinancement de créances commerciales MBD lot 1,70000.0,lesentrepreteurs,9.0,Clos,807705546,18,28/06/2021,amortizing,monthly,C,defaulted
NEGOCE ILES,400000.0,credit.fr,7.2,Clos,448963934,48,28/06/2021,amortizing,monthly,C+,defaulted
PROXI ABONDANCE,75000.0,credit.fr,6.9,Clos,830402673,36,16/06/2021,amortizing,monthly,C+,defaulted
HU HORLOGERIE,412000.0,credit.fr,5.3,Clos,808336754,24,03/06/2021,amortizing,monthly,B,defaulted
Refinancement de subventions C CLIM lot 2,50000.0,lesentrepreteurs,7.5,Clos,810268326,9,19/05/2021,amortizing,monthly,C,defaulted
CHAUDRONNERIE ALUMINIUM INOX,95000.0,credit.fr,6.6,Clos,400386710,24,06/04/2021,amortizing,monthly,C+,defaulted
LOKAM SAS,208000.0,credit.fr,6.9,Clos,497908863,36,25/03/2021,amortizing,monthly,C+,defaulted
Van Kralingen Exclusive Interiors #2,150000.0,lendix,8.0,Clos,74449311,48,17/03/2021,amortizing,monthly,C,defaulted
Refinancement de subventions C CLIM lot 1,83000.0,lesentrepreteurs,7.5,Clos,810268326,9,29/03/2021,amortizing,monthly,C,defaulted
P.B.I,150000.0,credit.fr,6.9,Clos,821580024,36,11/03/2021,amortizing,monthly,C+,defaulted
CGL TRANSPORTS,250000.0,credit.fr,5.9,Clos,750350597,36,03/03/2021,amortizing,monthly,B,defaulted
Activités immobilières - DIVONNE LES BAINS,100000.0,unilend,8.3,Clos,,18,21/02/2021,amortizing,monthly,,defaulted
ITEK,100018.0,pretup,8.5,Clos,891932840,36,10/02/2021,amortizing,monthly,C,defaulted
FRANCE BUSINESS DISCOUNT,93000.0,credit.fr,6.2,Clos,819156654,48,17/02/2021,amortizing,monthly,B,defaulted
FMPA,415000.0,credit.fr,6.2,Clos,893397703,48,09/02/2021,amortizing,monthly,B,defaulted
Location longue durée II,50000.0,prexem,8.5,autre,490673480,36,16/02/2021,amortizing,monthly,C,defaulted
Financement du programme immobilier Brin d'amour à La Trinité,75000.0,lesentrepreteurs,10.0,Clos,820185577,9,31/12/2020,amortizing,monthly,C,defaulted
S2IA,773000.0,credit.fr,6.9,Clos,528702004,36,21/12/2020,amortizing,monthly,C+,defaulted
PEINTURE SOL RAVALEMENT,500000.0,credit.fr,4.6,Clos,393143268,24,17/12/2020,amortizing,monthly,B+,defaulted
TRANS EXPRESS,60000.0,credit.fr,5.9,Clos,807551874,36,30/11/2020,amortizing,monthly,B,defaulted
A.F.I STRATEGIE,155000.0,credit.fr,6.9,Clos,809707979,36,27/11/2020,amortizing,monthly,C+,defaulted
LOC MAT 43,309000.0,credit.fr,6.9,Clos,438945388,36,19/11/2020,amortizing,monthly,C+,defaulted
ERI-EST,700000.0,credit.fr,5.9,Clos,403486574,36,13/11/2020,amortizing,monthly,B,defaulted
PLASTIFORM,540000.0,credit.fr,5.9,Clos,388060758,36,22/10/2020,amortizing,monthly,B,defaulted
USIDUC,110000.0,pretup,8.5,Clos,392646733,48,07/10/2020,amortizing,monthly,C,defaulted
FIDES INVEST,1600000.0,lookandfin,7.0,Clos,,24,18/09/2020,amortizing,monthly,C,defaulted
Go Etanchéité,180000.0,lendix,2.0,Clos,792019747,12,19/08/2020,amortizing,monthly,C,defaulted
ART MANIAC,50000.0,pretup,2.0,Clos,381171115,12,29/08/2020,amortizing,monthly,B,defaulted
AXYSWEB,30017.0,pretup,3.5,Clos,502275308,12,25/07/2020,amortizing,monthly,B,defaulted
Optimyse #3,90000.0,lendix,2.0,Clos,791921810,12,23/07/2020,amortizing,monthly,C,defaulted
Activeweb,100000.0,lendix,2.0,Clos,410691448,12,18/07/2020,amortizing,monthly,B,defaulted
FINANCIERE FAMILIALE LEVYFVE FFL,265000.0,credit.fr,5.6,Clos,812564276,24,13/07/2020,amortizing,monthly,B,defaulted
FINANCIERE FAMILIALE LEVYFVE FFL,100000.0,credit.fr,2.0,Clos,812564276,12,22/07/2020,bullet,annual,B,defaulted
New Office Centre Beheer #2,1500000.0,lendix,3.5,Clos,34023870,36,29/06/2020,amortizing,monthly,A,defaulted
JEY AGRI,275000.0,pretup,8.5,Clos,808819783,24,07/07/2020,amortizing,monthly,C,defaulted
Reprise d'un restaurant au Cap d'Agde,45000.0,lesentrepreteurs,8.5,Clos,828835421,36,16/07/2020,amortizing,monthly,D,defaulted
Lendel Media Solutions,160000.0,lendix,5.5,Clos,B65689747,36,29/05/2020,amortizing,monthly,B,defaulted
Industrie / mécanique - RILLIEUX LA PAPE,65000.0,unilend,7.8,Clos,,36,11/03/2020,amortizing,monthly,,defaulted
BECA,110001.0,pretup,8.5,Clos,850923723,36,07/03/2020,amortizing,monthly,C,defaulted
SARL AW RENOVATION,20000.0,pretup,8.5,Clos,831361548,36,14/02/2020,amortizing,monthly,C,defaulted
Novae Aerospace Industry #2,350000.0,lendix,6.5,Clos,530866177,36,28/01/2020,amortizing,monthly,B,defaulted
Ouverture d’un restaurant Pita Pit à La Rochelle,28000.0,lesentrepreteurs,9.5,Clos,809804370,48,31/01/2020,amortizing,monthly,D,defaulted
New Office Centre Beheer B.V.,1500000.0,lendix,3.5,Clos,34023870,36,27/12/2019,amortizing,monthly,A,defaulted
Ouverture d'un restaurant Basilic&Co à Paris XI,50000.0,lesentrepreteurs,9.0,Clos,879453033,48,16/01/2020,amortizing,monthly,D,defaulted
Saint Jean Industries #4,2100000.0,lendix,5.5,Clos,395047426,48,24/12/2019,amortizing,monthly,B,defaulted
V.G. Pubblicità,500000.0,lendix,6.5,Clos,11484390155,48,20/12/2019,amortizing,monthly,B,defaulted
Jolly Stampi,200000.0,lendix,6.9,Clos,00511250177,36,19/12/2019,amortizing,monthly,C,defaulted
Hôtellerie - VIEUX PORT,75000.0,unilend,8.0,Clos,453774762,36,10/12/2019,amortizing,monthly,3,defaulted
Doresse Bertrand Michel,75017.0,pretup,8.5,Clos,453774762,36,09/12/2019,amortizing,monthly,C,defaulted
ALPHA DEMENAGEMENTS,128500.0,credit.fr,5.9,Clos,442422085,36,09/12/2019,amortizing,monthly,B,defaulted
ISOL BEKA,150000.0,pretup,8.5,Clos,535123723,36,09/12/2019,amortizing,monthly,C,defaulted
CinéSkills by 15 Production,200000.0,myoptions,8.5,En cours,751120288,36,01/01/1900,amortizing,monthly,8,defaulted
Ouverture d'un nouveau restaurant à Lyon,100000.0,lesentrepreteurs,8.5,Clos,830021309,24,17/12/2019,amortizing,monthly,C,defaulted
ODIWI,100000.0,myoptions,8.0,En cours,750787061,36,01/01/1900,amortizing,monthly,8,defaulted
ENERLIS,1000000.0,credit.fr,4.9,Clos,798562450,36,19/11/2019,amortizing,monthly,B+,defaulted
FINANCIERE FAMILIALE LEVYFVE FFL,700000.0,credit.fr,5.3,Clos,812564276,12,18/11/2019,amortizing,monthly,B,defaulted
BCBJ,70000.0,credit.fr,5.9,Clos,531859346,36,30/10/2019,amortizing,monthly,B,defaulted
MT 15,50000.0,credit.fr,5.9,Clos,801681149,36,29/10/2019,amortizing,monthly,B,defaulted
"Service, conseil ou assurances - NANTERRE",100000.0,unilend,7.6,Clos,533115556,36,18/10/2019,amortizing,monthly,3.5,defaulted
CIE GENERALE DE NETTOYAGE,1030000.0,credit.fr,4.9,Clos,341484822,36,24/10/2019,amortizing,monthly,B+,defaulted
SMOKE ENJOY,20000.0,credit.fr,6.6,Clos,794081208,24,09/10/2019,amortizing,monthly,C+,defaulted
AMS EVENEMENTS,250000.0,credit.fr,5.9,Clos,417735263,36,09/10/2019,amortizing,monthly,B,defaulted
TERRE D'OPALE,250000.0,credit.fr,6.9,Clos,750660797,36,11/10/2019,amortizing,monthly,C+,defaulted
CABINET LETORT,90000.0,credit.fr,5.9,Clos,495176737,36,08/10/2019,amortizing,monthly,B,defaulted
BB 59,40000.0,pretup,8.75,Clos,853471936,24,03/10/2019,amortizing,monthly,C,defaulted
Georeso,32000.0,lendix,5.75,Clos,527549067,24,30/09/2019,amortizing,monthly,C,defaulted
NOREILS FINANCEMENT,45000.0,credit.fr,6.6,Clos,853794998,24,30/09/2019,amortizing,monthly,C+,defaulted
CHACAPART,30000.0,credit.fr,6.9,Clos,437669179,36,18/09/2019,amortizing,monthly,C+,defaulted
DEKACOM,93000.0,credit.fr,5.9,Clos,482116548,36,02/09/2019,amortizing,monthly,B,defaulted
AFRA VOYAGES,76020.0,pretup,8.5,Clos,418681474,48,03/09/2019,amortizing,monthly,C,defaulted
"Service, conseil et assurances - PARIS 10",82500.0,unilend,8.4,Clos,418681474,48,04/09/2019,amortizing,monthly,3.5,defaulted
Baraka Club de Viatges,103000.0,lendix,6.75,Clos,B61456729,36,19/07/2019,amortizing,monthly,C,defaulted
Zoko Zahara,156000.0,lendix,4.9,Clos,B72346059,36,17/07/2019,amortizing,monthly,B+,defaulted
Samen Vaardig B.V.,60000.0,lendix,5.95,Clos,64375014,36,09/07/2019,amortizing,monthly,B,defaulted
CLEAN PRESSING FLANDRE,50000.0,credit.fr,7.9,Clos,813490117,36,26/06/2019,amortizing,monthly,C,defaulted
Buran Operadora,2000000.0,lendix,6.25,Clos,B98735517,48,30/06/2019,amortizing,monthly,B,defaulted
Wereso,100000.0,bolden,9.0,Clos,798031357,24,01/06/2019,amortizing,monthly,D,defaulted
Manufactura Moderna de Metales,1500000.0,lendix,6.0,Clos,A08509937,48,23/05/2019,amortizing,monthly,B,defaulted
Due Torri,493000.0,lendix,6.45,Clos,794259283,60,10/05/2019,amortizing,monthly,B,defaulted
AB Custom Transport & Logistics,120000.0,lendix,6.1,Clos,B64430937,48,06/05/2019,amortizing,monthly,B,defaulted
Italstampi,48000.0,lendix,6.5,Clos,03413100987,42,03/05/2019,amortizing,monthly,C,defaulted
Emmetre,2100000.0,lendix,6.0,Clos,01818290122,48,24/04/2019,delayed,monthly,B+,defaulted
CityZen Mobility,250000.0,investbook,10.5,Clos,797581980,36,03/04/2019,amortizing,monthly,,defaulted
Sicam Srl,750000.0,lendix,4.6,Clos,01445990359,36,15/04/2019,amortizing,monthly,B+,defaulted
Interior Design & Immobilier,40018.0,pretup,8.5,Clos,823144795,36,01/04/2019,amortizing,monthly,C,defaulted
Sirio #03,900000.0,lendix,5.35,Clos,04142890377,30,27/03/2019,amortizing,monthly,B,defaulted
COMPAGNIE DE CONSTRUCTION,475000.0,credit.fr,4.9,Clos,439206764,36,26/03/2019,amortizing,monthly,B+,defaulted
COMPAGNIE DE CONSTRUCTION,1125000.0,credit.fr,5.5,Clos,439206764,60,29/03/2019,amortizing,monthly,B+,defaulted
Développement commercial le Loft,50000.0,lesentrepreteurs,8.5,Clos,524896206,24,16/03/2019,amortizing,monthly,D,defaulted
Orchid Création #5,730000.0,lendix,5.5,Clos,539482356,36,28/02/2019,amortizing,monthly,B,defaulted
Anticafe,50000.0,lendopolis,9.5,Clos,791915879,60,20/02/2019,amortizing,monthly,,defaulted
SARL Red Studio,90000.0,lendix,6.55,Clos,491799235,36,20/02/2019,amortizing,monthly,C,defaulted
Frank B.V.,1000000.0,lendix,4.5,Clos,02083727,48,22/02/2019,amortizing,monthly,B+,defaulted
SAS Hristov,30000.0,lendopolis,7.5,Clos,840234595,36,04/02/2019,amortizing,monthly,,defaulted
B SQUARE,400000.0,credit.fr,6.2,Clos,802354811,48,22/01/2019,amortizing,monthly,B,defaulted
Reprise d'un magasin Devred à Narbonne,50000.0,lesentrepreteurs,9.0,Clos,800419319,48,08/02/2019,amortizing,monthly,D,defaulted
PHONES AND PILES,40000.0,credit.fr,5.6,Clos,795214428,24,10/01/2019,amortizing,monthly,B,defaulted
Intégrale,60000.0,lendix,4.6,Clos,502998438,24,26/12/2018,amortizing,monthly,B+,defaulted
Acuster,2000000.0,lendix,6.75,Clos,B63760417,60,24/12/2018,amortizing,monthly,B,defaulted
LE J,95000.0,credit.fr,5.6,Clos,794459628,24,26/12/2018,amortizing,monthly,B,defaulted
CABINET LETORT,30000.0,credit.fr,5.9,Clos,495176737,36,21/12/2018,amortizing,monthly,B,defaulted
Wal-Cor-Corsanini di Carlo Santini&c,2000000.0,lendix,6.2,Clos,00735160194,48,18/12/2018,delayed,monthly,B,defaulted
Financement développement du Tabarlet,33000.0,lesentrepreteurs,8.5,Clos,827878638,36,16/12/2018,amortizing,monthly,D,defaulted
BARACH SERVICES,35000.0,credit.fr,6.9,Clos,818473407,36,21/11/2018,amortizing,monthly,C+,defaulted
Setic,1000000.0,lookandfin,6.0,Clos,342635570,36,16/11/2018,amortizing,monthly,C,defaulted
Maison 86,150000.0,bolden,7.7,Clos,530974021,36,29/11/2018,amortizing,monthly,C,defaulted
Carimat Matériaux,1500000.0,lookandfin,6.5,Clos,,60,11/11/2018,amortizing,monthly,C,defaulted
Alkor Draka,623000.0,lendix,5.4,Clos,392099214,18,13/11/2018,amortizing,monthly,B,defaulted
TRIPARTITE,500000.0,credit.fr,4.3,Clos,439498353,12,08/11/2018,amortizing,monthly,B+,defaulted
AVENIR RESEAUX ET COMMUNICATIONS,80000.0,credit.fr,7.3,Clos,492140173,24,30/10/2018,amortizing,monthly,C,defaulted
AntiCafé @ Innovation Factory,75000.0,lendopolis,7.5,Clos,804263945,48,18/10/2018,amortizing,monthly,,defaulted
LIBRE SERVICE DE BORRIGLIONE,35000.0,credit.fr,7.8,Clos,400771796,36,09/10/2018,amortizing,monthly,C,defaulted
Kingooroo,35000.0,bolden,7.5,Clos,531009249,24,04/10/2018,amortizing,monthly,C,defaulted
Herederos Tabernillas SL,90000.0,lendix,4.8,Clos,B99461402,36,04/10/2018,amortizing,monthly,B+,defaulted
Smilodon,313070.0,lendix,5.4,Clos,838237386,60,30/09/2018,amortizing,monthly,A,defaulted
SETIC,515000.0,credit.fr,5.6,Clos,342635570,36,03/10/2018,amortizing,monthly,B+,defaulted
ALLO BARLIN TAXI,40000.0,pretup,8.5,Clos,812931954,24,27/09/2018,amortizing,monthly,C,defaulted
Barbara Vrillac,85000.0,credit.fr,7.2,Clos,341455897,48,24/09/2018,amortizing,monthly,B,defaulted
La Compagnie Ligerienne,100000.0,lendopolis,8.25,Clos,528375439,60,03/10/2018,amortizing,monthly,,defaulted
EELSA,100000.0,pretup,8.5,Clos,821511466,24,29/08/2018,amortizing,monthly,C,defaulted
Acquisition d'outils de production avicoles,30000.0,lesentrepreteurs,9.0,Clos,841029093,36,17/09/2018,amortizing,monthly,D,defaulted
Ouverture d'un Cash Express à Fresnes,20000.0,lesentrepreteurs,8.5,Clos,841082266,36,30/09/2018,amortizing,monthly,C,defaulted
La bonne paye,20000.0,prexem,7.8,autre,537758351,36,08/08/2018,amortizing,monthly,B,defaulted
Kamaladdin,110000.0,lendopolis,9.5,Clos,837738202,60,20/09/2018,amortizing,monthly,,defaulted
Netco Group,1000000.0,wesharebonds,6.0,Clos,442478723,60,05/08/2018,amortizing,monthly,,defaulted
SARL BG Sport,50000.0,lendopolis,6.75,Clos,751711458,36,13/08/2018,amortizing,monthly,,defaulted
AMS EVENEMENTS,350000.0,credit.fr,6.7,Clos,417735263,36,02/08/2018,amortizing,monthly,B,defaulted
Guide sécurité,90000.0,prexem,7.0,autre,801591215,24,28/08/2018,amortizing,monthly,B+,defaulted
BNY Form,50000.0,lendopolis,6.75,Clos,510335094,36,31/07/2018,amortizing,monthly,B,defaulted
SAS JAS,83000.0,lendix,6.95,Clos,535165849,36,24/07/2018,amortizing,monthly,C,defaulted
Financière Invest,198000.0,lendix,6.75,Clos,831462759,60,24/07/2018,amortizing,monthly,B,defaulted
Duty Free Concept #02,259500.0,lendix,5.65,Clos,524057049,48,23/07/2018,amortizing,monthly,B,defaulted
Ladder,300000.0,lendix,5.2,Clos,04222370233,36,20/07/2018,amortizing,monthly,B,defaulted
LAROUSSI,250000.0,credit.fr,6.6,Clos,839373941,60,23/07/2018,amortizing,monthly,B+,defaulted
Baldi,400000.0,lendix,5.5,Clos,04490630482,36,18/07/2018,amortizing,monthly,B,defaulted
AntiCafé @ Innovation Factory,125000.0,lendopolis,8.25,Clos,804263945,60,26/07/2018,amortizing,monthly,B,defaulted
Oikos Hotels SL,500000.0,lendix,6.15,Clos,B86125812,48,30/06/2018,amortizing,monthly,B,defaulted
La Compagnie Ligerienne,100000.0,lendopolis,8.25,Clos,528375439,60,03/07/2018,amortizing,monthly,B,defaulted
A & A Marketing Service,300000.0,lendix,6.7,Clos,02659250969,24,28/06/2018,amortizing,monthly,C,defaulted
Investissements Gentlemen 1919,100000.0,lesentrepreteurs,8.5,Clos,817907520,36,31/07/2018,amortizing,monthly,D,defaulted
SMOW,100000.0,lendopolis,6.75,Clos,417971736,36,22/06/2018,amortizing,monthly,B,defaulted
Groupe CDC,1000000.0,wesharebonds,7.0,Clos,508375086,36,16/06/2018,bullet,monthly,C,defaulted
Victor Denis,210000.0,lookandfin,6.5,Clos,,48,18/06/2018,amortizing,monthly,C,defaulted
Ouverture d'une nouvelle agence dans Paris,100000.0,lesentrepreteurs,8.5,Clos,819011818,48,31/07/2018,amortizing,monthly,D,defaulted
ASITY,35000.0,credit.fr,7.8,Clos,447960550,36,14/06/2018,amortizing,monthly,C,defaulted
ECR BATIMENTS,70000.0,credit.fr,6.7,Clos,793784935,36,08/06/2018,amortizing,monthly,B,defaulted
REYES DIAZ SA,200000.0,lendix,6.0,Clos,A38012746,36,08/06/2018,amortizing,monthly,B,defaulted
Ouverture d'une nouvelle salle de sport Vit'halles,100000.0,lesentrepreteurs,8.0,Clos,499874436,36,27/06/2018,amortizing,monthly,D,defaulted
Eco Energie,90000.0,prexem,7.8,autre,812967404,24,13/06/2018,amortizing,monthly,B,defaulted
Informatique et télécommunications                                 - Aix-en-Provence,200000.0,unilend,7.5,Clos,752021139,60,04/06/2018,amortizing,monthly,"3,5",defaulted
SARL AGENCE DU HAUT COUSERANS,30024.0,pretup,8.5,Clos,485351183,36,28/05/2018,amortizing,monthly,C,defaulted
Crazy Foot,60000.0,bolden,5.9,Clos,511800781,36,22/06/2018,amortizing,monthly,A,defaulted
SARL BMC,200000.0,credit.fr,7.2,Clos,517703468,48,29/05/2018,amortizing,monthly,B,defaulted
Bio&Sens Holding,575000.0,lendix,6.0,Clos,529223059,60,22/05/2018,amortizing,monthly,B,defaulted
Thelgo Immobilier,17000.0,lendopolis,9.5,Clos,833689540,60,17/05/2018,amortizing,monthly,B,defaulted
TJG Bistronomie,165000.0,lendix,6.75,Clos,839289600,72,11/05/2018,amortizing,monthly,B,defaulted
EUROPEENNE DE COMMUNICATION PUBLICITAIRE,55000.0,lendopolis,6.25,Clos,440228120,48,03/05/2018,amortizing,monthly,B,defaulted
FMA,75000.0,credit.fr,8.3,Clos,488872318,48,30/04/2018,amortizing,monthly,C,defaulted
ELEFTHERIADIS NIKOLAOS,30000.0,credit.fr,6.7,Clos,505409508,36,30/04/2018,amortizing,monthly,B,defaulted
Reprise d'un bar tabac près de Lille,15000.0,lesentrepreteurs,8.5,Clos,838309789,36,21/05/2018,amortizing,monthly,D,defaulted
Sapristic,500000.0,lookandfin,7.5,Clos,,48,25/04/2018,amortizing,monthly,C,defaulted
JD NUMBER,150000.0,credit.fr,7.8,Clos,791003270,36,25/04/2018,amortizing,monthly,C,defaulted
SARL LABEL CHAISE,38000.0,pretup,8.5,Clos,514160282,36,24/04/2018,amortizing,monthly,C,defaulted
Boucherie de la République #2,32000.0,lendix,8.7,Clos,811326594,60,21/04/2018,amortizing,monthly,C,defaulted
Solaire et végétal,100000.0,prexem,9.0,clos,529639312,24,25/04/2018,amortizing,monthly,C,defaulted
Lilly Confezioni,250000.0,lendix,6.3,Clos,03992350243,42,18/04/2018,amortizing,monthly,B,defaulted
Smow,100000.0,investbook,8.0,Clos,417971736,48,09/04/2018,amortizing,monthly,,defaulted
Pizza France #2,260000.0,lendix,4.95,Clos,340812403,48,13/04/2018,amortizing,monthly,B+,defaulted
Sirio,1500000.0,lendix,5.5,Clos,04142890377,36,09/04/2018,amortizing,monthly,B,defaulted
H&H PARTNERS,200000.0,credit.fr,6.1,Clos,445104045,48,09/04/2018,amortizing,monthly,B+,defaulted
Aménagement d'un espace restauration,30000.0,lesentrepreteurs,9.0,Clos,481438299,36,30/04/2018,amortizing,monthly,D,defaulted
VIDOURLE-SPORT,154500.0,credit.fr,7.2,Clos,531700672,48,05/04/2018,amortizing,monthly,B,defaulted
Technofirst #2,1040000.0,lendix,4.65,Clos,379099443,30,31/03/2018,amortizing,monthly,B+,defaulted
YANN CASTEL COURTAGE,150000.0,credit.fr,6.7,Clos,493148373,36,29/03/2018,amortizing,monthly,B,defaulted
LNV1,725000.0,lendix,5.5,Clos,514775485,72,29/03/2018,amortizing,monthly,B+,defaulted
Instituts Odontologics,3500000.0,lendix,4.1,Clos,B58941832,60,28/03/2018,amortizing,monthly,A,defaulted
FALCOME,310000.0,lendix,6.3,Clos,821006707,60,23/03/2018,amortizing,monthly,B,defaulted
Commerce de proximité hors alimentaire - Brest,62630.0,unilend,6.3,Clos,442157715,36,16/03/2018,amortizing,monthly,3.5,defaulted
ATELIER 17,35000.0,credit.fr,5.6,Clos,833488992,36,15/03/2018,amortizing,monthly,B+,defaulted
Développement international AC.Horizon,60000.0,lesentrepreteurs,8.0,Clos,498655463,36,16/04/2018,amortizing,monthly,C,defaulted
Restauration - Nantes,78000.0,unilend,8.5,Clos,833762404,60,12/03/2018,amortizing,monthly,3,defaulted
K'YA Fitness,68500.0,lendopolis,9.5,Clos,834392599,60,12/03/2018,amortizing,monthly,B,defaulted
La Deko,45000.0,pretup,8.5,Clos,803218486,36,01/03/2018,amortizing,monthly,C,defaulted
SARL CAP MARQUET,30000.0,credit.fr,5.6,Clos,452471501,36,26/02/2018,amortizing,monthly,B+,defaulted
PG Trucks,100000.0,pretup,8.5,Clos,524042389,24,07/03/2018,amortizing,monthly,C,defaulted
PG Balayage,62057.0,pretup,8.5,Clos,832290605,24,12/03/2018,amortizing,monthly,C,defaulted
PG Location,55476.0,pretup,8.5,Clos,831785373,24,12/03/2018,amortizing,monthly,C,defaulted
HKA Invest,1325000.0,lendix,6.75,Clos,834530602,84,26/02/2018,amortizing,monthly,B,defaulted
AGRITAL,100000.0,lendix,6.35,Clos,03070510650,48,20/02/2018,amortizing,monthly,B,defaulted
SAS BILGILI,50000.0,credit.fr,6.1,Clos,479299018,48,20/02/2018,amortizing,monthly,B+,defaulted
Ouverture d'une nouvelle boutique Platinium Shoes,50000.0,lesentrepreteurs,7.5,Clos,815233713,36,16/03/2018,amortizing,monthly,D,defaulted
PND filiale de IOC Group,500000.0,wesharebonds,6.5,Clos,499796233,48,11/02/2018,amortizing,monthly,C,defaulted
Megaram,100000.0,lookandfin,8.75,Clos,,50,10/02/2018,amortizing,monthly,B,defaulted
Bizou France,100000.0,lendopolis,8.5,Clos,824271704,60,12/02/2018,amortizing,monthly,B,defaulted
Falcome Recyclage,162650.0,lendix,5.15,Clos,823555230,36,09/02/2018,amortizing,monthly,B,defaulted
LA SOLUTION,100000.0,pretup,8.5,Clos,491542304,36,10/02/2018,amortizing,monthly,C,defaulted
Metaloc - 3,100000.0,bolden,8.0,Clos,750980476,36,31/01/2018,amortizing,monthly,C,defaulted
Swim-Lons,47000.0,lendopolis,9.5,Clos,829637610,60,24/01/2018,amortizing,monthly,B,defaulted
EGP-CAPITAL,20000.0,credit.fr,8.3,Clos,493176457,48,23/01/2018,amortizing,monthly,C,defaulted
Développement commercial All-in Corporation,80000.0,lesentrepreteurs,8.0,Clos,532244159,36,19/02/2018,amortizing,monthly,C,defaulted
ENEKIO,500000.0,credit.fr,6.2,Clos,533966131,24,23/01/2018,amortizing,monthly,B,defaulted
ETS MAREK ET CIE,80000.0,credit.fr,7.2,Clos,731920815,48,18/01/2018,amortizing,monthly,B,defaulted
Pizza France,230000.0,lendix,5.0,Clos,340812403,48,18/01/2018,amortizing,monthly,B+,defaulted
MT-DEVELOPPEMENT,22009.0,pretup,8.5,Clos,790150213,24,12/01/2018,amortizing,monthly,C,defaulted
BTP / construction - Saint-Armel,85000.0,unilend,8.3,Clos,483627378,48,16/01/2018,amortizing,monthly,3,defaulted
Boucherie de la République,115000.0,lendix,9.0,Clos,811326594,60,08/01/2018,amortizing,monthly,C,defaulted
OCCITANIE FOOD HOLDING,480000.0,credit.fr,6.6,Clos,834048282,60,17/01/2018,amortizing,monthly,B+,defaulted
